,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
betw cen e-icoh theta,0.1 (0.21),0.0 (0.0),0.33 (0.64),0.0 (0.2),0.0 (0.25),0.16 (0.24),0.3 (0.16),0.03 (0.45),0.05 (0.23),0.26 (0.52),0.0 (0.01),0.14 (0.26)
betw cen e-plv alpha,0.42 (0.46),0.58 (0.33),0.14 (0.27),0.0 (0.34),0.34 (0.57),0.0 (0.0),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.0 (0.17),0.0 (0.0),0.51 (0.46)
betw cen e-plv beta,0.0 (0.1),0.06 (0.14),0.0 (0.08),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.05),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.08 (0.31)
betw cen e-plv delta,0.06 (0.24),0.31 (0.32),0.0 (0.0),0.55 (0.45),0.0 (0.04),0.0 (0.26),0.0 (0.01),0.0 (0.25),0.0 (0.04),0.11 (0.47),0.0 (0.0),0.42 (0.43)
betw cen e-plv gamma,0.0 (0.0),0.0 (0.1),0.38 (0.69),0.0 (0.0),0.27 (0.36),0.0 (0.02),0.21 (0.14),0.46 (0.25),0.19 (0.38),0.0 (0.18),0.0 (0.27),0.0 (0.17)
betw cen e-plv theta,0.0 (0.1),0.08 (0.4),0.59 (0.41),0.29 (0.62),0.15 (0.33),0.0 (0.0),0.06 (0.17),0.0 (0.11),0.0 (0.06),0.13 (0.84),0.0 (0.13),0.5 (0.56)
betw cen e-wpli alpha,0.0 (0.22),0.0 (0.0),0.0 (0.1),0.0 (0.13),0.0 (0.0),0.0 (0.14),0.0 (0.0),0.0 (0.33),0.0 (0.21),0.0 (0.0),0.23 (0.62),0.13 (0.31)
betw cen e-wpli beta,0.4 (0.71),0.09 (0.39),0.0 (0.0),0.0 (0.0),0.0 (0.28),0.0 (0.2),0.0 (0.06),0.0 (0.12),0.13 (0.29),0.0 (0.0),0.0 (0.04),0.0 (0.04)
betw cen e-wpli delta,0.09 (0.25),0.07 (0.27),0.0 (0.0),0.39 (0.44),0.11 (0.28),0.36 (0.48),0.0 (0.0),0.0 (0.35),0.0 (0.11),0.0 (0.08),0.09 (0.26),0.0 (0.0)
betw cen e-wpli gamma,0.0 (0.0),0.19 (0.4),0.1 (0.21),0.0 (0.14),0.13 (0.5),0.0 (0.0),0.34 (0.45),0.0 (0.0),0.0 (0.16),0.0 (0.0),0.04 (0.18),0.0 (0.0)
betw cen e-wpli theta,0.0 (0.08),0.0 (0.0),0.24 (0.34),0.36 (0.79),0.0 (0.33),0.04 (0.34),0.02 (0.08),0.17 (0.31),0.0 (0.02),0.0 (0.0),0.0 (0.02),0.26 (0.37)
betw cen s-lcoh alpha,0.0 (0.1),0.0 (0.62),0.0 (0.2),0.0 (0.0),0.0 (0.52),0.33 (0.65),0.0 (0.0),0.04 (0.15),0.21 (0.56),0.0 (0.0),0.0 (0.32),0.0 (0.0)
betw cen s-lcoh beta,0.29 (0.6),0.0 (0.02),0.09 (0.65),0.63 (0.38),0.62 (0.94),0.0 (0.0),0.3 (0.32),0.0 (0.24),0.0 (0.0),0.28 (0.85),0.0 (0.0),0.24 (0.3)
betw cen s-lcoh delta,0.12 (0.28),0.01 (0.29),0.0 (0.0),0.0 (0.12),0.0 (0.13),0.0 (0.15),0.07 (0.18),0.4 (0.56),0.18 (0.35),0.2 (0.51),0.5 (0.4),0.48 (0.42)
betw cen s-lcoh gamma,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.05 (0.29),0.1 (0.24),0.0 (0.0),0.0 (0.15),0.0 (0.02),0.14 (0.33),0.0 (0.0),0.35 (0.37),0.0 (0.0)
betw cen s-lcoh theta,0.0 (0.03),0.05 (0.56),0.24 (0.39),0.0 (0.07),0.16 (0.56),0.11 (0.28),0.0 (0.0),0.07 (0.15),0.0 (0.05),0.0 (0.0),0.03 (0.71),0.0 (0.06)
betw cen s-lps alpha,0.0 (0.02),0.14 (0.36),0.06 (0.24),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.07 (0.23),0.55 (0.27),0.0 (0.43),0.0 (0.0),0.26 (0.62),0.04 (0.27)
betw cen s-lps beta,0.0 (0.0),0.01 (0.23),0.0 (0.0),0.01 (0.28),0.0 (0.0),0.09 (0.2),0.06 (0.2),0.0 (0.0),0.0 (0.0),0.24 (0.45),0.66 (0.42),0.0 (0.0)
betw cen s-lps delta,0.42 (0.27),0.35 (0.58),0.0 (0.1),0.0 (0.37),0.0 (0.69),0.01 (0.47),0.2 (0.2),0.31 (0.49),0.24 (0.2),0.0 (0.27),0.01 (0.81),0.51 (0.33)
betw cen s-lps gamma,0.62 (0.32),0.06 (0.28),0.0 (0.0),0.0 (0.0),0.0 (0.06),0.0 (0.0),0.0 (0.03),0.0 (0.17),0.17 (0.3),0.0 (0.09),0.51 (0.43),0.41 (0.76)
betw cen s-lps theta,0.25 (0.71),0.0 (0.23),0.0 (0.22),0.0 (0.0),0.15 (0.35),0.0 (0.0),0.0 (0.04),0.06 (0.21),0.0 (0.33),0.0 (0.0),0.0 (0.16),0.0 (0.21)
clust coef e-icoh alpha,0.0 (0.35),0.05 (0.08),0.0 (0.0),0.0 (0.01),0.0 (0.03),0.0 (0.0),0.01 (0.02),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.04)
clust coef e-icoh beta,0.03 (0.08),0.0 (0.17),0.0 (0.03),0.0 (0.03),0.0 (0.04),0.0 (0.19),0.01 (0.02),0.01 (0.29),0.06 (0.07),0.11 (0.22),0.0 (0.23),0.0 (0.02)
clust coef e-icoh delta,0.53 (0.55),0.43 (0.59),0.0 (0.0),0.0 (0.04),0.0 (0.02),0.0 (0.31),0.0 (0.0),0.0 (0.23),0.0 (0.05),0.0 (0.0),0.0 (0.0),0.08 (0.31)
clust coef e-icoh gamma,0.0 (0.0),0.0 (0.0),0.0 (0.06),0.0 (0.06),0.02 (0.07),0.0 (0.0),0.01 (0.02),0.0 (0.04),0.0 (0.03),0.0 (0.0),0.04 (0.11),0.0 (0.05)
clust coef e-icoh theta,0.0 (0.22),0.0 (0.23),0.29 (0.61),0.0 (0.0),0.0 (0.03),0.0 (0.21),0.0 (0.0),0.0 (0.16),0.0 (0.01),0.02 (0.07),0.0 (0.03),0.06 (0.22)
clust coef e-plv alpha,0.18 (0.33),0.55 (0.27),0.26 (0.4),0.0 (0.08),0.15 (0.45),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.35 (0.48)
clust coef e-plv beta,0.0 (0.0),0.0 (0.54),0.42 (0.4),0.03 (0.1),0.0 (0.0),0.0 (0.31),0.06 (0.17),0.04 (0.07),0.0 (0.02),0.16 (0.46),0.0 (0.0),0.1 (0.56)
clust coef e-plv delta,0.01 (0.36),0.01 (0.08),0.01 (0.12),0.0 (0.44),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.03 (0.05),0.0 (0.0),0.0 (0.0),0.02 (0.05),0.67 (0.35)
clust coef e-plv gamma,0.0 (0.0),0.03 (0.43),0.04 (0.13),0.0 (0.17),0.5 (0.57),0.47 (0.29),0.01 (0.13),0.0 (0.04),0.0 (0.0),0.0 (0.23),0.0 (0.01),0.04 (0.21)
clust coef e-plv theta,0.0 (0.02),0.0 (0.41),0.28 (0.67),0.43 (0.58),0.27 (0.22),0.0 (0.0),0.0 (0.16),0.0 (0.0),0.0 (0.03),0.06 (0.52),0.0 (0.2),0.45 (0.2)
clust coef e-wpli alpha,0.42 (0.59),0.06 (0.09),0.0 (0.0),0.0 (0.03),0.0 (0.03),0.0 (0.0),0.01 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.02)
clust coef e-wpli beta,0.01 (0.05),0.0 (0.19),0.0 (0.04),0.0 (0.01),0.0 (0.03),0.01 (0.16),0.01 (0.03),0.02 (0.09),0.05 (0.07),0.0 (0.06),0.0 (0.0),0.0 (0.03)
clust coef e-wpli delta,0.0 (0.44),0.51 (0.8),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.06),0.0 (0.01),0.0 (0.28),0.0 (0.02),0.02 (0.05),0.0 (0.0),0.0 (0.12)
clust coef e-wpli gamma,0.0 (0.0),0.02 (0.2),0.0 (0.01),0.0 (0.08),0.04 (0.54),0.0 (0.0),0.01 (0.02),0.0 (0.03),0.0 (0.03),0.0 (0.01),0.02 (0.5),0.0 (0.0)
clust coef e-wpli theta,0.07 (0.24),0.0 (0.37),0.41 (0.49),0.0 (0.0),0.01 (0.11),0.0 (0.0),0.0 (0.0),0.0 (0.07),0.0 (0.01),0.03 (0.06),0.0 (0.0),0.15 (0.27)
clust coef s-lcoh alpha,0.0 (0.01),0.08 (0.13),0.0 (0.3),0.0 (0.0),0.0 (0.07),0.0 (0.0),0.16 (0.23),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.58),0.02 (0.08)
clust coef s-lcoh beta,0.3 (0.38),0.0 (0.02),0.0 (0.02),0.0 (0.06),0.03 (0.06),0.0 (0.0),0.02 (0.03),0.0 (0.01),0.03 (0.04),0.05 (0.05),0.0 (0.0),0.0 (0.02)
clust coef s-lcoh delta,0.27 (0.45),0.0 (0.24),0.0 (0.0),0.0 (0.04),0.0 (0.01),0.0 (0.0),0.17 (0.21),0.64 (0.23),0.4 (0.28),0.36 (0.45),0.0 (0.34),0.36 (0.28)
clust coef s-lcoh gamma,0.62 (0.61),0.0 (0.03),0.0 (0.0),0.0 (0.0),0.0 (0.05),0.01 (0.05),0.0 (0.0),0.08 (0.11),0.03 (0.13),0.0 (0.06),0.01 (0.08),0.0 (0.04)
clust coef s-lcoh theta,0.0 (0.21),0.65 (0.85),0.25 (0.3),0.0 (0.0),0.0 (0.12),0.0 (0.0),0.0 (0.0),0.0 (0.06),0.0 (0.0),0.0 (0.05),0.0 (0.24),0.08 (0.17)
clust coef s-lps alpha,0.0 (0.29),0.05 (0.23),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.02 (0.23),0.0 (0.01),0.05 (0.72),0.0 (0.24),0.0 (0.0),0.05 (0.16)
clust coef s-lps beta,0.12 (0.22),0.0 (0.0),0.0 (0.76),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.03 (0.05),0.05 (0.11),0.0 (0.32),0.0 (0.03)
clust coef s-lps delta,0.2 (0.23),0.0 (0.25),0.0 (0.0),0.0 (0.06),0.0 (0.0),0.04 (0.78),0.13 (0.19),0.57 (0.42),0.25 (0.24),0.21 (0.37),0.0 (0.01),0.55 (0.25)
clust coef s-lps gamma,0.77 (0.25),0.0 (0.03),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.04),0.0 (0.0),0.05 (0.06),0.01 (0.09),0.0 (0.05),0.03 (0.7),0.09 (0.79)
clust coef s-lps theta,0.18 (0.29),0.05 (0.5),0.01 (0.39),0.0 (0.0),0.0 (0.14),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.1 (0.28)
correlation dimension,0.0 (0.2),0.43 (0.47),0.0 (0.11),0.36 (0.37),0.0 (0.13),0.04 (0.31),0.22 (0.3),0.0 (0.0),0.0 (0.0),0.16 (0.66),0.18 (0.41),0.0 (0.0)
dfa exponent alpha,0.0 (0.0),0.0 (0.0),0.02 (0.06),0.03 (0.13),0.0 (0.01),0.06 (0.38),0.01 (0.02),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.19 (0.31),0.29 (0.4)
dfa exponent beta,0.01 (0.46),0.0 (0.0),0.07 (0.13),0.03 (0.19),0.0 (0.06),0.02 (0.11),0.17 (0.13),0.45 (0.16),0.08 (0.22),0.0 (0.0),0.04 (0.05),0.0 (0.08)
dfa exponent delta,0.07 (0.28),0.0 (0.19),0.03 (0.17),0.06 (0.1),0.0 (0.01),0.0 (0.14),0.04 (0.09),0.06 (0.14),0.62 (0.53),0.0 (0.0),0.0 (0.26),0.0 (0.02)
dfa exponent gamma,0.0 (0.24),0.54 (0.33),0.21 (0.15),0.0 (0.0),0.09 (0.39),0.01 (0.06),0.01 (0.07),0.01 (0.05),0.0 (0.07),0.0 (0.0),0.01 (0.06),0.0 (0.0)
dfa exponent theta,0.0 (0.02),0.0 (0.0),0.04 (0.08),0.03 (0.05),0.22 (0.31),0.04 (0.05),0.46 (0.65),0.0 (0.05),0.03 (0.1),0.0 (0.0),0.38 (0.28),0.07 (0.11)
higuchi fractal dim,0.0 (0.0),0.01 (0.32),0.0 (0.0),0.0 (0.0),0.03 (0.21),0.09 (0.3),0.0 (0.02),0.23 (0.22),0.05 (0.33),0.0 (0.0),0.15 (0.28),0.53 (0.45)
hjorth activity,0.0 (0.15),0.0 (0.0),0.04 (0.3),0.27 (0.31),0.21 (0.44),0.0 (0.04),0.0 (0.05),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.13 (0.11),0.0 (0.0)
hjorth complexity,0.0 (0.25),0.0 (0.66),0.0 (0.02),0.06 (0.29),0.03 (0.1),0.0 (0.25),0.01 (0.02),0.34 (0.74),0.1 (0.2),0.0 (0.0),0.02 (0.07),0.09 (0.49)
hjorth mobility,0.04 (0.42),0.5 (0.46),0.06 (0.07),0.34 (0.51),0.33 (0.47),0.0 (0.0),0.0 (0.01),0.03 (0.21),0.0 (0.06),0.0 (0.0),0.0 (0.21),0.04 (0.1)
katz fractal dim,0.03 (0.13),0.0 (0.0),0.0 (0.05),0.36 (0.37),0.06 (0.24),0.0 (0.02),0.06 (0.05),0.01 (0.03),0.0 (0.01),0.0 (0.0),0.15 (0.14),0.0 (0.04)
kurtosis ampl alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.07 (0.13),0.07 (0.12),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.38)
kurtosis ampl beta,0.0 (0.0),0.0 (0.0),0.0 (0.23),0.08 (0.15),0.0 (0.17),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.12),0.0 (0.04),0.0 (0.0),0.13 (0.28)
kurtosis ampl delta,0.0 (0.48),0.08 (0.28),0.0 (0.03),0.0 (0.02),0.39 (0.42),0.08 (0.12),0.01 (0.02),0.02 (0.57),0.03 (0.49),0.0 (0.0),0.41 (0.44),0.09 (0.07)
kurtosis ampl gamma,0.14 (0.3),0.0 (0.01),0.0 (0.48),0.0 (0.0),0.0 (0.04),0.0 (0.02),0.0 (0.0),0.0 (0.04),0.05 (0.15),0.0 (0.02),0.0 (0.0),0.0 (0.0)
kurtosis ampl theta,0.0 (0.0),0.0 (0.03),0.0 (0.0),0.02 (0.12),0.03 (0.08),0.0 (0.06),0.0 (0.09),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0)
life time alpha,0.03 (0.07),0.15 (0.39),0.23 (0.35),0.0 (0.0),0.0 (0.04),0.0 (0.06),0.0 (0.0),0.0 (0.01),0.0 (0.02),0.0 (0.0),0.0 (0.18),0.03 (0.17)
life time beta,0.0 (0.0),0.01 (0.05),0.0 (0.06),0.05 (0.09),0.11 (0.08),0.0 (0.0),0.01 (0.02),0.13 (0.14),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.26 (0.13)
life time delta,0.0 (0.43),0.0 (0.06),0.0 (0.03),0.0 (0.04),0.0 (0.01),0.0 (0.06),0.17 (0.22),0.0 (0.0),0.0 (0.03),0.11 (0.22),0.0 (0.05),0.05 (0.15)
life time gamma,0.2 (0.25),0.43 (0.17),0.0 (0.0),0.0 (0.0),0.04 (0.12),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.04),0.0 (0.03),0.5 (0.56)
life time theta,0.0 (0.14),0.21 (0.13),0.25 (0.14),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.02 (0.04),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.21),0.05 (0.13)
lyapunov exponent,0.0 (0.11),0.0 (0.0),0.0 (0.0),0.06 (0.1),0.15 (0.3),0.0 (0.03),0.04 (0.05),0.21 (0.16),0.1 (0.12),0.0 (0.0),0.08 (0.11),0.25 (0.21)
lzc exhaustive,0.0 (0.1),0.56 (0.28),0.05 (0.09),0.37 (0.18),0.44 (0.2),0.0 (0.09),0.0 (0.01),0.0 (0.1),0.0 (0.16),0.0 (0.0),0.0 (0.16),0.08 (0.13)
lzc primitive,0.0 (0.05),0.59 (0.31),0.05 (0.09),0.38 (0.2),0.46 (0.23),0.0 (0.15),0.0 (0.01),0.0 (0.04),0.0 (0.17),0.0 (0.0),0.0 (0.18),0.08 (0.13)
mean ampl alpha,0.0 (0.0),0.01 (0.04),0.07 (0.5),0.06 (0.19),0.42 (0.32),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.14 (0.18),0.0 (0.04)
mean ampl beta,0.05 (0.09),0.0 (0.0),0.0 (0.06),0.34 (0.4),0.08 (0.08),0.0 (0.0),0.07 (0.1),0.02 (0.04),0.0 (0.0),0.0 (0.01),0.11 (0.1),0.0 (0.03)
mean ampl delta,0.0 (0.06),0.0 (0.02),0.0 (0.05),0.05 (0.1),0.06 (0.12),0.0 (0.66),0.0 (0.05),0.0 (0.15),0.0 (0.0),0.0 (0.01),0.06 (0.14),0.52 (0.34)
mean ampl gamma,0.17 (0.15),0.0 (0.58),0.0 (0.0),0.0 (0.04),0.04 (0.11),0.0 (0.0),0.02 (0.06),0.0 (0.02),0.0 (0.0),0.0 (0.03),0.1 (0.15),0.12 (0.2)
mean ampl theta,0.0 (0.01),0.0 (0.0),0.08 (0.12),0.06 (0.2),0.45 (0.77),0.0 (0.04),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.07 (0.11),0.01 (0.22)
microstate A,0.0 (0.02),0.04 (0.06),0.0 (0.16),0.0 (0.05),0.09 (0.09),0.0 (0.01),0.0 (0.0),0.0 (0.11),0.01 (0.14),0.0 (0.0),0.0 (0.0),0.0 (0.01)
microstate B,0.02 (0.05),0.0 (0.0),0.08 (0.12),0.13 (0.1),0.13 (0.1),0.04 (0.07),0.0 (0.0),0.0 (0.11),0.05 (0.11),0.0 (0.01),0.0 (0.0),0.0 (0.03)
microstate C,0.01 (0.04),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.05 (0.1),0.0 (0.16),0.0 (0.0),0.0 (0.07),0.0 (0.08),0.0 (0.09),0.0 (0.02),0.0 (0.02)
microstate D,0.0 (0.04),0.01 (0.05),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.04 (0.08),0.0 (0.0),0.0 (0.01),0.0 (0.01)
microstate E,0.01 (0.05),0.01 (0.19),0.03 (0.09),0.05 (0.16),0.0 (0.04),0.0 (0.0),0.0 (0.0),0.0 (0.17),0.07 (0.11),0.0 (0.05),0.03 (0.07),0.0 (0.15)
mod index alpha-beta,0.16 (0.29),0.0 (0.01),0.0 (0.04),0.03 (0.1),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.05 (0.14),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0)
mod index alpha-gamma,0.0 (0.0),0.0 (0.77),0.15 (0.14),0.44 (0.37),0.0 (0.21),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.31 (0.56),0.0 (0.0),0.33 (0.6),0.51 (0.43)
mod index beta-gamma,0.0 (0.0),0.0 (0.0),0.15 (0.53),0.01 (0.33),0.03 (0.13),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.24),0.0 (0.0),0.0 (0.0),0.0 (0.0)
mod index delta-alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.38 (0.7),0.4 (0.54),0.0 (0.01),0.0 (0.01),0.0 (0.04),0.0 (0.01),0.0 (0.0),0.0 (0.1),0.01 (0.53)
mod index delta-beta,0.02 (0.1),0.0 (0.03),0.0 (0.44),0.15 (0.41),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.11),0.0 (0.0),0.0 (0.0),0.0 (0.29)
mod index delta-gamma,0.0 (0.04),0.0 (0.02),0.0 (0.0),0.34 (0.53),0.0 (0.0),0.0 (0.3),0.0 (0.0),0.0 (0.0),0.05 (0.44),0.0 (0.0),0.5 (0.38),0.0 (0.06)
mod index delta-theta,0.0 (0.01),0.09 (0.23),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.27 (0.46),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.08),0.0 (0.01)
mod index theta-alpha,0.35 (0.48),0.29 (0.41),0.1 (0.16),0.0 (0.0),0.0 (0.04),0.03 (0.05),0.0 (0.01),0.02 (0.05),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.51 (0.52)
mod index theta-beta,0.02 (0.04),0.2 (0.28),0.07 (0.11),0.04 (0.07),0.45 (0.74),0.0 (0.0),0.0 (0.0),0.0 (0.53),0.0 (0.0),0.0 (0.0),0.0 (0.04),0.06 (0.09)
mod index theta-gamma,0.19 (0.45),0.33 (0.42),0.16 (0.12),0.31 (0.34),0.0 (0.07),0.0 (0.02),0.0 (0.0),0.09 (0.4),0.0 (0.05),0.0 (0.0),0.03 (0.34),0.15 (0.25)
node str e-icoh alpha,0.01 (0.34),0.06 (0.1),0.0 (0.0),0.0 (0.02),0.0 (0.02),0.0 (0.0),0.01 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.05)
node str e-icoh beta,0.03 (0.11),0.0 (0.18),0.0 (0.03),0.0 (0.34),0.0 (0.04),0.0 (0.16),0.01 (0.03),0.02 (0.27),0.07 (0.09),0.1 (0.22),0.0 (0.21),0.0 (0.03)
node str e-icoh delta,0.53 (0.66),0.45 (0.48),0.0 (0.0),0.0 (0.05),0.0 (0.01),0.0 (0.3),0.0 (0.0),0.0 (0.09),0.0 (0.06),0.0 (0.0),0.0 (0.0),0.11 (0.29)
node str e-icoh gamma,0.0 (0.0),0.0 (0.01),0.0 (0.08),0.0 (0.09),0.02 (0.11),0.0 (0.0),0.01 (0.03),0.0 (0.05),0.0 (0.03),0.0 (0.0),0.05 (0.14),0.0 (0.03)
node str e-icoh theta,0.15 (0.24),0.0 (0.71),0.36 (0.63),0.0 (0.0),0.0 (0.09),0.0 (0.2),0.0 (0.0),0.0 (0.21),0.0 (0.12),0.02 (0.22),0.0 (0.04),0.08 (0.2)
node str e-plv alpha,0.02 (0.12),0.52 (0.33),0.24 (0.54),0.01 (0.2),0.11 (0.39),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.39 (0.51)
node str e-plv beta,0.0 (0.0),0.0 (0.6),0.56 (0.28),0.03 (0.14),0.0 (0.0),0.0 (0.24),0.05 (0.12),0.02 (0.09),0.0 (0.0),0.39 (0.64),0.0 (0.0),0.15 (0.65)
node str e-plv delta,0.01 (0.33),0.01 (0.33),0.04 (0.17),0.17 (0.48),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.04 (0.06),0.0 (0.0),0.0 (0.02),0.01 (0.06),0.54 (0.38)
node str e-plv gamma,0.0 (0.0),0.03 (0.5),0.03 (0.15),0.15 (0.33),0.42 (0.51),0.37 (0.26),0.0 (0.1),0.0 (0.04),0.0 (0.0),0.0 (0.2),0.0 (0.22),0.03 (0.15)
node str e-plv theta,0.0 (0.05),0.0 (0.33),0.25 (0.56),0.44 (0.25),0.32 (0.16),0.0 (0.0),0.0 (0.16),0.0 (0.0),0.0 (0.04),0.07 (0.64),0.0 (0.48),0.47 (0.22)
node str e-wpli alpha,0.35 (0.5),0.08 (0.19),0.0 (0.0),0.0 (0.13),0.0 (0.03),0.0 (0.0),0.01 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.03)
node str e-wpli beta,0.01 (0.05),0.0 (0.18),0.0 (0.03),0.0 (0.31),0.0 (0.03),0.06 (0.19),0.02 (0.04),0.06 (0.69),0.07 (0.1),0.0 (0.07),0.0 (0.0),0.0 (0.04)
node str e-wpli delta,0.0 (0.34),0.6 (0.83),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.05),0.0 (0.29),0.0 (0.02),0.03 (0.07),0.0 (0.0),0.0 (0.1)
node str e-wpli gamma,0.0 (0.0),0.03 (0.16),0.0 (0.0),0.0 (0.09),0.03 (0.22),0.0 (0.0),0.0 (0.01),0.0 (0.04),0.0 (0.04),0.0 (0.0),0.01 (0.11),0.0 (0.01)
node str e-wpli theta,0.18 (0.26),0.27 (0.5),0.32 (0.49),0.0 (0.0),0.01 (0.13),0.0 (0.0),0.0 (0.0),0.0 (0.09),0.0 (0.03),0.02 (0.07),0.0 (0.0),0.08 (0.21)
