,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
betw cen s-lcoh beta,0.7 (0.27),0.64 (0.23),0.73 (0.18),0.62 (0.19),0.71 (0.24),0.72 (0.24),0.8 (0.11),0.82 (0.11),0.74 (0.19),0.74 (0.18),0.75 (0.24),0.6 (0.2)
betw cen s-lcoh delta,0.74 (0.22),0.8 (0.12),0.68 (0.27),0.64 (0.17),0.71 (0.26),0.65 (0.24),0.79 (0.13),0.8 (0.14),0.72 (0.2),0.55 (0.19),0.66 (0.2),0.59 (0.16)
betw cen s-lcoh gamma,0.75 (0.25),0.73 (0.22),0.74 (0.23),0.74 (0.23),0.66 (0.25),0.72 (0.2),0.81 (0.15),0.8 (0.13),0.75 (0.22),0.64 (0.25),0.82 (0.08),0.7 (0.23)
betw cen s-lcoh theta,0.75 (0.21),0.75 (0.16),0.74 (0.2),0.66 (0.25),0.83 (0.09),0.76 (0.21),0.81 (0.2),0.82 (0.14),0.6 (0.24),0.75 (0.2),0.76 (0.21),0.73 (0.22)
betw cen s-lps alpha,0.72 (0.19),0.67 (0.22),0.76 (0.23),0.72 (0.21),0.74 (0.23),0.76 (0.22),0.82 (0.14),0.82 (0.11),0.75 (0.21),0.7 (0.24),0.77 (0.23),0.66 (0.21)
betw cen s-lps beta,0.8 (0.23),0.78 (0.2),0.75 (0.2),0.76 (0.2),0.76 (0.22),0.75 (0.2),0.82 (0.14),0.82 (0.09),0.76 (0.21),0.75 (0.2),0.76 (0.17),0.77 (0.19)
betw cen s-lps delta,0.72 (0.23),0.79 (0.15),0.76 (0.22),0.73 (0.21),0.65 (0.18),0.66 (0.18),0.8 (0.17),0.81 (0.14),0.67 (0.24),0.79 (0.2),0.76 (0.2),0.65 (0.16)
betw cen s-lps gamma,0.75 (0.23),0.78 (0.17),0.76 (0.22),0.8 (0.22),0.79 (0.14),0.81 (0.16),0.81 (0.16),0.81 (0.13),0.82 (0.17),0.64 (0.18),0.78 (0.17),0.78 (0.2)
betw cen s-lps theta,0.78 (0.18),0.74 (0.18),0.78 (0.18),0.8 (0.15),0.83 (0.08),0.81 (0.08),0.8 (0.18),0.83 (0.14),0.79 (0.19),0.63 (0.19),0.8 (0.2),0.79 (0.16)
clust coef e-icoh alpha,0.76 (0.2),0.74 (0.21),0.69 (0.25),0.76 (0.19),0.56 (0.26),0.76 (0.17),0.82 (0.16),0.81 (0.14),0.78 (0.2),0.79 (0.19),0.75 (0.22),0.67 (0.21)
clust coef e-icoh beta,0.79 (0.21),0.7 (0.22),0.69 (0.21),0.58 (0.19),0.77 (0.2),0.73 (0.2),0.8 (0.16),0.78 (0.16),0.69 (0.17),0.59 (0.1),0.74 (0.22),0.66 (0.23)
clust coef e-icoh delta,0.69 (0.22),0.58 (0.19),0.79 (0.18),0.72 (0.23),0.81 (0.25),0.64 (0.18),0.82 (0.11),0.82 (0.13),0.72 (0.22),0.74 (0.21),0.8 (0.14),0.69 (0.24)
clust coef e-icoh gamma,0.76 (0.22),0.66 (0.25),0.74 (0.24),0.73 (0.22),0.79 (0.2),0.74 (0.18),0.79 (0.21),0.82 (0.12),0.76 (0.22),0.77 (0.21),0.67 (0.17),0.68 (0.25)
clust coef e-icoh theta,0.62 (0.17),0.76 (0.16),0.8 (0.14),0.74 (0.19),0.59 (0.17),0.73 (0.19),0.8 (0.12),0.79 (0.13),0.73 (0.2),0.72 (0.18),0.65 (0.19),0.73 (0.24)
clust coef e-plv alpha,0.73 (0.21),0.72 (0.24),0.78 (0.2),0.74 (0.2),0.73 (0.23),0.73 (0.23),0.82 (0.11),0.81 (0.13),0.77 (0.22),0.67 (0.22),0.74 (0.22),0.66 (0.2)
clust coef e-plv beta,0.67 (0.22),0.63 (0.21),0.83 (0.07),0.73 (0.23),0.64 (0.24),0.77 (0.22),0.8 (0.13),0.8 (0.11),0.72 (0.17),0.66 (0.24),0.78 (0.17),0.71 (0.16)
clust coef e-plv delta,0.79 (0.2),0.75 (0.22),0.66 (0.24),0.73 (0.2),0.78 (0.16),0.76 (0.16),0.8 (0.14),0.79 (0.13),0.79 (0.17),0.74 (0.19),0.79 (0.16),0.78 (0.16)
clust coef e-plv gamma,0.77 (0.21),0.6 (0.18),0.77 (0.18),0.71 (0.2),0.77 (0.11),0.8 (0.18),0.82 (0.14),0.82 (0.08),0.79 (0.2),0.77 (0.17),0.81 (0.16),0.63 (0.19)
clust coef e-plv theta,0.66 (0.21),0.79 (0.24),0.76 (0.21),0.65 (0.18),0.77 (0.21),0.82 (0.08),0.8 (0.07),0.81 (0.08),0.77 (0.21),0.77 (0.18),0.77 (0.16),0.7 (0.22)
clust coef e-wpli alpha,0.78 (0.22),0.7 (0.23),0.64 (0.25),0.7 (0.21),0.55 (0.29),0.72 (0.16),0.83 (0.15),0.82 (0.11),0.8 (0.19),0.73 (0.19),0.78 (0.22),0.69 (0.23)
clust coef e-wpli beta,0.66 (0.2),0.64 (0.23),0.75 (0.22),0.58 (0.25),0.75 (0.22),0.66 (0.2),0.79 (0.16),0.81 (0.15),0.66 (0.14),0.7 (0.23),0.64 (0.21),0.61 (0.19)
clust coef e-wpli delta,0.71 (0.23),0.64 (0.18),0.77 (0.2),0.6 (0.25),0.74 (0.24),0.64 (0.17),0.82 (0.12),0.78 (0.14),0.75 (0.24),0.62 (0.21),0.76 (0.19),0.63 (0.2)
clust coef e-wpli gamma,0.76 (0.2),0.67 (0.22),0.72 (0.23),0.69 (0.2),0.78 (0.16),0.78 (0.18),0.75 (0.2),0.81 (0.12),0.77 (0.14),0.75 (0.22),0.62 (0.17),0.69 (0.2)
clust coef e-wpli theta,0.62 (0.22),0.67 (0.21),0.79 (0.17),0.83 (0.07),0.71 (0.25),0.76 (0.22),0.81 (0.13),0.79 (0.13),0.63 (0.23),0.65 (0.22),0.71 (0.16),0.65 (0.22)
clust coef s-lcoh alpha,0.59 (0.11),0.63 (0.17),0.69 (0.18),0.65 (0.22),0.7 (0.22),0.76 (0.19),0.83 (0.1),0.82 (0.08),0.74 (0.23),0.74 (0.19),0.69 (0.25),0.68 (0.2)
clust coef s-lcoh beta,0.77 (0.19),0.69 (0.23),0.79 (0.19),0.6 (0.17),0.77 (0.23),0.58 (0.18),0.81 (0.15),0.82 (0.07),0.74 (0.22),0.64 (0.2),0.77 (0.21),0.63 (0.18)
clust coef s-lcoh delta,0.71 (0.23),0.74 (0.22),0.65 (0.21),0.8 (0.21),0.66 (0.21),0.64 (0.24),0.79 (0.24),0.79 (0.13),0.59 (0.19),0.67 (0.2),0.76 (0.21),0.64 (0.19)
clust coef s-lcoh gamma,0.57 (0.22),0.75 (0.21),0.78 (0.2),0.73 (0.2),0.65 (0.22),0.74 (0.19),0.78 (0.2),0.8 (0.13),0.74 (0.12),0.63 (0.2),0.64 (0.18),0.72 (0.25)
clust coef s-lcoh theta,0.74 (0.23),0.76 (0.23),0.76 (0.2),0.81 (0.09),0.71 (0.21),0.76 (0.2),0.77 (0.17),0.79 (0.13),0.61 (0.09),0.62 (0.19),0.69 (0.2),0.76 (0.22)
clust coef s-lps alpha,0.67 (0.11),0.58 (0.11),0.74 (0.23),0.67 (0.23),0.73 (0.27),0.73 (0.15),0.82 (0.15),0.81 (0.09),0.72 (0.24),0.75 (0.22),0.65 (0.25),0.64 (0.21)
clust coef s-lps beta,0.78 (0.19),0.78 (0.18),0.69 (0.24),0.59 (0.17),0.76 (0.21),0.64 (0.23),0.8 (0.13),0.81 (0.12),0.64 (0.22),0.57 (0.05),0.78 (0.2),0.67 (0.18)
clust coef s-lps delta,0.67 (0.26),0.72 (0.23),0.8 (0.18),0.75 (0.23),0.76 (0.25),0.6 (0.2),0.77 (0.24),0.8 (0.14),0.6 (0.18),0.65 (0.24),0.72 (0.26),0.62 (0.18)
clust coef s-lps gamma,0.57 (0.21),0.59 (0.24),0.62 (0.2),0.79 (0.19),0.67 (0.19),0.74 (0.16),0.83 (0.13),0.82 (0.13),0.67 (0.17),0.76 (0.21),0.74 (0.21),0.64 (0.19)
clust coef s-lps theta,0.72 (0.24),0.72 (0.22),0.78 (0.15),0.77 (0.18),0.71 (0.19),0.83 (0.06),0.77 (0.11),0.78 (0.09),0.64 (0.16),0.6 (0.09),0.62 (0.18),0.65 (0.21)
correlation dimension,0.81 (0.12),0.77 (0.2),0.6 (0.19),0.76 (0.18),0.74 (0.22),0.75 (0.18),0.81 (0.12),0.83 (0.13),0.77 (0.18),0.66 (0.19),0.69 (0.22),0.75 (0.19)
dfa exponent alpha,0.6 (0.2),0.77 (0.2),0.6 (0.18),0.8 (0.22),0.63 (0.22),0.78 (0.18),0.8 (0.21),0.8 (0.17),0.65 (0.19),0.56 (0.18),0.59 (0.18),0.73 (0.21)
dfa exponent beta,0.8 (0.18),0.75 (0.21),0.71 (0.24),0.8 (0.15),0.67 (0.25),0.62 (0.2),0.8 (0.14),0.82 (0.1),0.8 (0.23),0.75 (0.21),0.76 (0.22),0.65 (0.18)
dfa exponent delta,0.71 (0.24),0.75 (0.22),0.8 (0.16),0.78 (0.21),0.81 (0.13),0.8 (0.22),0.81 (0.12),0.8 (0.15),0.69 (0.21),0.66 (0.18),0.74 (0.22),0.75 (0.16)
dfa exponent gamma,0.77 (0.22),0.61 (0.17),0.65 (0.22),0.68 (0.21),0.71 (0.21),0.77 (0.22),0.8 (0.09),0.74 (0.12),0.73 (0.19),0.66 (0.25),0.73 (0.21),0.62 (0.17)
dfa exponent theta,0.61 (0.23),0.78 (0.15),0.74 (0.23),0.62 (0.23),0.61 (0.24),0.65 (0.2),0.79 (0.13),0.79 (0.11),0.78 (0.21),0.58 (0.19),0.58 (0.06),0.68 (0.2)
higuchi fractal dim,0.8 (0.21),0.65 (0.2),0.61 (0.24),0.74 (0.24),0.75 (0.22),0.62 (0.18),0.79 (0.19),0.81 (0.14),0.61 (0.16),0.56 (0.08),0.7 (0.24),0.61 (0.18)
hjorth activity,0.72 (0.21),0.6 (0.26),0.66 (0.14),0.59 (0.21),0.69 (0.21),0.69 (0.21),0.8 (0.11),0.79 (0.12),0.68 (0.23),0.67 (0.21),0.77 (0.24),0.62 (0.22)
hjorth complexity,0.67 (0.2),0.61 (0.21),0.64 (0.23),0.71 (0.19),0.7 (0.23),0.63 (0.2),0.79 (0.16),0.8 (0.13),0.6 (0.2),0.61 (0.26),0.64 (0.18),0.72 (0.24)
hjorth mobility,0.79 (0.14),0.59 (0.08),0.62 (0.24),0.7 (0.18),0.67 (0.16),0.6 (0.1),0.72 (0.19),0.73 (0.15),0.71 (0.19),0.59 (0.19),0.6 (0.16),0.62 (0.13)
katz fractal dim,0.64 (0.1),0.56 (0.07),0.78 (0.15),0.6 (0.17),0.6 (0.17),0.66 (0.19),0.81 (0.22),0.82 (0.13),0.77 (0.2),0.76 (0.21),0.75 (0.19),0.61 (0.21)
kurtosis ampl alpha,0.59 (0.09),0.76 (0.21),0.81 (0.17),0.65 (0.18),0.74 (0.21),0.74 (0.19),0.77 (0.16),0.78 (0.13),0.6 (0.23),0.71 (0.19),0.67 (0.18),0.65 (0.19)
kurtosis ampl beta,0.58 (0.21),0.59 (0.13),0.56 (0.22),0.82 (0.09),0.63 (0.23),0.61 (0.22),0.81 (0.14),0.79 (0.14),0.79 (0.16),0.77 (0.19),0.65 (0.23),0.66 (0.22)
kurtosis ampl delta,0.78 (0.18),0.73 (0.21),0.75 (0.22),0.6 (0.19),0.75 (0.19),0.78 (0.18),0.79 (0.17),0.81 (0.12),0.74 (0.18),0.62 (0.2),0.78 (0.22),0.73 (0.22)
kurtosis ampl gamma,0.76 (0.2),0.66 (0.19),0.74 (0.22),0.81 (0.15),0.82 (0.1),0.65 (0.23),0.79 (0.13),0.81 (0.14),0.73 (0.14),0.67 (0.15),0.76 (0.2),0.79 (0.17)
kurtosis ampl theta,0.74 (0.22),0.7 (0.21),0.83 (0.1),0.63 (0.15),0.63 (0.23),0.67 (0.18),0.82 (0.16),0.8 (0.15),0.66 (0.21),0.62 (0.23),0.68 (0.22),0.69 (0.19)
life time alpha,0.8 (0.2),0.77 (0.22),0.67 (0.24),0.64 (0.11),0.76 (0.26),0.63 (0.22),0.81 (0.19),0.81 (0.15),0.68 (0.23),0.78 (0.19),0.75 (0.2),0.58 (0.24)
life time beta,0.58 (0.2),0.61 (0.18),0.8 (0.16),0.67 (0.2),0.74 (0.23),0.76 (0.24),0.77 (0.17),0.78 (0.12),0.6 (0.13),0.74 (0.17),0.63 (0.12),0.57 (0.19)
life time delta,0.75 (0.18),0.69 (0.21),0.69 (0.21),0.75 (0.22),0.81 (0.23),0.79 (0.19),0.82 (0.09),0.82 (0.13),0.76 (0.19),0.73 (0.22),0.74 (0.21),0.79 (0.14)
life time gamma,0.58 (0.2),0.6 (0.23),0.6 (0.19),0.69 (0.19),0.57 (0.15),0.59 (0.16),0.78 (0.13),0.79 (0.14),0.69 (0.2),0.64 (0.19),0.59 (0.16),0.67 (0.19)
life time theta,0.77 (0.2),0.68 (0.23),0.75 (0.22),0.77 (0.21),0.78 (0.17),0.62 (0.22),0.81 (0.11),0.82 (0.07),0.68 (0.18),0.67 (0.17),0.75 (0.21),0.63 (0.21)
lyapunov exponent,0.73 (0.22),0.62 (0.23),0.76 (0.25),0.71 (0.16),0.73 (0.23),0.79 (0.21),0.81 (0.11),0.79 (0.13),0.77 (0.21),0.64 (0.17),0.67 (0.17),0.66 (0.2)
lzc exhaustive,0.82 (0.09),0.62 (0.21),0.61 (0.2),0.67 (0.2),0.7 (0.24),0.76 (0.21),0.75 (0.21),0.79 (0.12),0.74 (0.23),0.67 (0.21),0.61 (0.23),0.65 (0.14)
lzc primitive,0.78 (0.19),0.62 (0.22),0.61 (0.14),0.73 (0.22),0.72 (0.23),0.73 (0.23),0.76 (0.21),0.79 (0.13),0.79 (0.19),0.69 (0.21),0.6 (0.21),0.64 (0.15)
mean ampl alpha,0.63 (0.13),0.55 (0.09),0.73 (0.22),0.58 (0.24),0.64 (0.23),0.61 (0.21),0.79 (0.2),0.74 (0.2),0.62 (0.24),0.6 (0.21),0.59 (0.18),0.65 (0.2)
mean ampl beta,0.62 (0.17),0.72 (0.26),0.61 (0.25),0.64 (0.2),0.81 (0.18),0.8 (0.18),0.82 (0.14),0.81 (0.1),0.66 (0.19),0.62 (0.21),0.78 (0.2),0.74 (0.24)
mean ampl delta,0.78 (0.16),0.74 (0.21),0.58 (0.18),0.7 (0.23),0.75 (0.23),0.63 (0.2),0.79 (0.2),0.8 (0.13),0.67 (0.19),0.81 (0.15),0.81 (0.16),0.74 (0.23)
mean ampl gamma,0.71 (0.21),0.62 (0.22),0.77 (0.23),0.6 (0.17),0.8 (0.15),0.68 (0.12),0.79 (0.19),0.81 (0.14),0.69 (0.2),0.62 (0.22),0.72 (0.19),0.57 (0.2)
mean ampl theta,0.73 (0.19),0.68 (0.24),0.75 (0.25),0.78 (0.25),0.59 (0.12),0.64 (0.21),0.78 (0.23),0.76 (0.13),0.61 (0.06),0.62 (0.14),0.56 (0.18),0.6 (0.19)
microstate A,0.47 (0.06),0.47 (0.05),0.48 (0.08),0.49 (0.06),0.48 (0.05),0.51 (0.07),0.7 (0.23),0.7 (0.17),0.48 (0.05),0.51 (0.05),0.61 (0.08),0.47 (0.05)
microstate B,0.56 (0.2),0.56 (0.3),0.49 (0.04),0.58 (0.07),0.48 (0.24),0.51 (0.06),0.73 (0.25),0.73 (0.21),0.52 (0.08),0.5 (0.06),0.57 (0.09),0.49 (0.06)
microstate C,0.43 (0.04),0.45 (0.06),0.45 (0.06),0.52 (0.09),0.49 (0.05),0.48 (0.07),0.73 (0.2),0.71 (0.2),0.46 (0.05),0.53 (0.05),0.5 (0.08),0.55 (0.07)
microstate D,0.51 (0.06),0.47 (0.05),0.47 (0.07),0.45 (0.05),0.41 (0.04),0.46 (0.09),0.69 (0.25),0.73 (0.18),0.51 (0.08),0.48 (0.09),0.52 (0.05),0.5 (0.09)
microstate E,0.46 (0.06),0.48 (0.22),0.45 (0.05),0.51 (0.07),0.49 (0.23),0.48 (0.08),0.73 (0.23),0.71 (0.19),0.53 (0.07),0.5 (0.08),0.48 (0.06),0.51 (0.04)
mod index alpha-beta,0.79 (0.13),0.74 (0.22),0.78 (0.15),0.73 (0.18),0.76 (0.22),0.82 (0.13),0.8 (0.18),0.8 (0.17),0.65 (0.21),0.76 (0.2),0.68 (0.19),0.7 (0.2)
mod index alpha-gamma,0.73 (0.21),0.71 (0.21),0.7 (0.17),0.76 (0.16),0.78 (0.19),0.81 (0.18),0.83 (0.13),0.82 (0.14),0.7 (0.17),0.76 (0.2),0.77 (0.18),0.72 (0.18)
mod index beta-gamma,0.76 (0.12),0.73 (0.19),0.8 (0.12),0.79 (0.2),0.79 (0.23),0.79 (0.21),0.81 (0.12),0.82 (0.13),0.74 (0.19),0.75 (0.18),0.83 (0.08),0.75 (0.21)
mod index delta-alpha,0.59 (0.18),0.75 (0.19),0.75 (0.2),0.71 (0.17),0.8 (0.2),0.79 (0.21),0.79 (0.14),0.77 (0.12),0.64 (0.2),0.71 (0.16),0.76 (0.2),0.57 (0.09)
mod index delta-beta,0.75 (0.2),0.71 (0.2),0.77 (0.19),0.75 (0.2),0.75 (0.2),0.77 (0.19),0.81 (0.2),0.81 (0.15),0.7 (0.22),0.68 (0.21),0.68 (0.21),0.68 (0.17)
mod index delta-gamma,0.81 (0.18),0.75 (0.2),0.77 (0.19),0.64 (0.21),0.83 (0.11),0.65 (0.23),0.81 (0.13),0.81 (0.13),0.78 (0.16),0.72 (0.2),0.73 (0.17),0.76 (0.2)
mod index delta-theta,0.72 (0.22),0.68 (0.18),0.76 (0.21),0.71 (0.23),0.76 (0.22),0.75 (0.22),0.83 (0.09),0.82 (0.1),0.74 (0.23),0.65 (0.23),0.78 (0.22),0.76 (0.23)
mod index theta-alpha,0.69 (0.15),0.79 (0.22),0.64 (0.23),0.6 (0.21),0.62 (0.25),0.75 (0.23),0.76 (0.17),0.77 (0.11),0.71 (0.27),0.64 (0.18),0.61 (0.22),0.66 (0.2)
mod index theta-beta,0.78 (0.22),0.59 (0.19),0.6 (0.21),0.66 (0.23),0.75 (0.24),0.75 (0.23),0.8 (0.14),0.8 (0.12),0.66 (0.2),0.63 (0.2),0.67 (0.22),0.74 (0.18)
mod index theta-gamma,0.67 (0.2),0.76 (0.17),0.62 (0.22),0.75 (0.24),0.59 (0.25),0.61 (0.17),0.81 (0.13),0.79 (0.15),0.78 (0.18),0.64 (0.16),0.75 (0.23),0.79 (0.2)
node str e-icoh alpha,0.76 (0.13),0.77 (0.12),0.72 (0.25),0.65 (0.16),0.71 (0.26),0.65 (0.18),0.81 (0.18),0.81 (0.12),0.78 (0.21),0.76 (0.21),0.78 (0.2),0.73 (0.23)
node str e-icoh beta,0.77 (0.22),0.63 (0.22),0.75 (0.22),0.73 (0.24),0.78 (0.25),0.71 (0.2),0.81 (0.2),0.81 (0.13),0.68 (0.17),0.6 (0.15),0.78 (0.21),0.65 (0.2)
node str e-icoh delta,0.75 (0.26),0.66 (0.23),0.76 (0.21),0.77 (0.22),0.78 (0.07),0.67 (0.19),0.82 (0.09),0.81 (0.12),0.74 (0.22),0.78 (0.2),0.77 (0.19),0.72 (0.2)
node str e-icoh gamma,0.75 (0.22),0.75 (0.2),0.69 (0.22),0.75 (0.2),0.78 (0.21),0.8 (0.17),0.8 (0.15),0.81 (0.14),0.73 (0.17),0.67 (0.15),0.72 (0.2),0.64 (0.18)
node str e-icoh theta,0.72 (0.21),0.77 (0.15),0.79 (0.17),0.77 (0.16),0.65 (0.22),0.76 (0.21),0.8 (0.13),0.81 (0.1),0.66 (0.19),0.74 (0.16),0.72 (0.23),0.74 (0.22)
node str e-plv alpha,0.7 (0.19),0.73 (0.23),0.81 (0.08),0.77 (0.18),0.72 (0.25),0.73 (0.23),0.83 (0.1),0.82 (0.09),0.73 (0.22),0.74 (0.21),0.77 (0.21),0.67 (0.18)
node str e-plv beta,0.75 (0.2),0.79 (0.18),0.77 (0.16),0.74 (0.24),0.61 (0.24),0.79 (0.19),0.8 (0.12),0.8 (0.12),0.75 (0.18),0.75 (0.21),0.81 (0.08),0.76 (0.2)
node str e-plv delta,0.76 (0.15),0.74 (0.22),0.74 (0.23),0.76 (0.23),0.75 (0.16),0.66 (0.2),0.8 (0.08),0.81 (0.13),0.81 (0.14),0.71 (0.17),0.81 (0.19),0.79 (0.23)
node str e-plv gamma,0.76 (0.22),0.65 (0.23),0.79 (0.19),0.75 (0.21),0.76 (0.19),0.78 (0.21),0.82 (0.09),0.82 (0.13),0.79 (0.19),0.73 (0.2),0.81 (0.12),0.67 (0.19)
node str e-plv theta,0.69 (0.24),0.75 (0.24),0.79 (0.17),0.73 (0.21),0.76 (0.22),0.79 (0.1),0.79 (0.11),0.8 (0.07),0.77 (0.19),0.77 (0.2),0.82 (0.07),0.62 (0.18)
node str e-wpli alpha,0.75 (0.19),0.74 (0.23),0.74 (0.23),0.77 (0.2),0.66 (0.26),0.74 (0.21),0.81 (0.18),0.82 (0.13),0.82 (0.17),0.76 (0.2),0.8 (0.2),0.75 (0.21)
node str e-wpli beta,0.69 (0.22),0.65 (0.21),0.72 (0.23),0.61 (0.18),0.74 (0.23),0.69 (0.18),0.78 (0.18),0.8 (0.14),0.76 (0.22),0.75 (0.21),0.72 (0.23),0.65 (0.18)
node str e-wpli delta,0.72 (0.23),0.67 (0.22),0.78 (0.19),0.66 (0.22),0.75 (0.22),0.63 (0.21),0.79 (0.16),0.8 (0.1),0.77 (0.22),0.77 (0.21),0.79 (0.22),0.72 (0.21)
node str e-wpli gamma,0.73 (0.19),0.78 (0.17),0.71 (0.22),0.67 (0.2),0.7 (0.21),0.79 (0.12),0.79 (0.18),0.8 (0.16),0.74 (0.17),0.69 (0.19),0.65 (0.21),0.7 (0.22)
node str e-wpli theta,0.76 (0.25),0.76 (0.18),0.78 (0.15),0.82 (0.15),0.69 (0.21),0.79 (0.19),0.79 (0.13),0.79 (0.13),0.63 (0.19),0.65 (0.2),0.8 (0.18),0.7 (0.19)
