,Cvlt attention span,Cvlt delayed memory,Pts-2 subtest 3,Rwt animal categories,Rwt s words,Tap alertness,Tap simon congruent,Tap simon incongruent,Tap working memory,Tmt-A,Tmt-B,Vocabulary test
clust coef s-lcoh alpha,0.01 (0.11),0.0 (0.0),0.0 (0.01),0.25 (0.21),0.0 (0.13),0.0 (0.01),0.01 (0.01),0.0 (0.0),0.02 (0.24),0.17 (0.13),0.1 (0.26),0.0 (0.11)
clust coef s-lcoh beta,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.06),0.0 (0.02),0.09 (0.29),0.0 (0.03),0.0 (0.03),0.0 (0.0)
clust coef s-lcoh delta,0.01 (0.2),0.01 (0.18),0.0 (0.0),0.0 (0.0),0.0 (0.15),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.03),0.01 (0.03),0.0 (0.0),0.0 (0.0)
clust coef s-lcoh gamma,0.0 (0.0),0.0 (0.11),0.09 (0.18),0.01 (0.05),0.06 (0.07),0.02 (0.06),0.01 (0.01),0.01 (0.03),0.28 (0.27),0.02 (0.03),0.02 (0.03),0.0 (0.0)
clust coef s-lcoh theta,0.0 (0.33),0.0 (0.0),0.0 (0.08),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.01 (0.01),0.0 (0.0),0.01 (0.03),0.0 (0.02),0.03 (0.06),0.0 (0.0)
clust coef s-lps alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.06 (0.1),0.0 (0.01),0.0 (0.02),0.0 (0.03),0.0 (0.05),0.0 (0.01),0.23 (0.27),0.0 (0.17),0.0 (0.11)
clust coef s-lps beta,0.0 (0.0),0.0 (0.01),0.0 (0.17),0.0 (0.0),0.02 (0.03),0.0 (0.0),0.0 (0.02),0.0 (0.03),0.14 (0.23),0.0 (0.01),0.0 (0.0),0.0 (0.0)
clust coef s-lps delta,0.0 (0.17),0.01 (0.14),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.02),0.02 (0.03),0.0 (0.0),0.0 (0.01)
clust coef s-lps gamma,0.0 (0.0),0.0 (0.0),0.0 (0.01),0.01 (0.04),0.03 (0.04),0.03 (0.05),0.0 (0.01),0.01 (0.05),0.42 (0.21),0.01 (0.01),0.02 (0.03),0.0 (0.0)
clust coef s-lps theta,0.17 (0.25),0.0 (0.05),0.0 (0.15),0.0 (0.0),0.0 (0.09),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.05),0.0 (0.01),0.01 (0.04),0.0 (0.0)
correlation dimension,0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.06),0.0 (0.0),0.0 (0.0),0.0 (0.05),0.03 (0.06),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.28 (0.17)
dfa exponent alpha,0.0 (0.0),0.0 (0.0),0.0 (0.09),0.0 (0.0),0.0 (0.22),0.0 (0.0),0.02 (0.02),0.0 (0.0),0.01 (0.05),0.0 (0.0),0.01 (0.02),0.0 (0.01)
dfa exponent beta,0.09 (0.29),0.0 (0.14),0.0 (0.0),0.0 (0.12),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.0 (0.0),0.14 (0.23),0.0 (0.15),0.01 (0.03),0.0 (0.07)
dfa exponent delta,0.0 (0.02),0.01 (0.04),0.0 (0.01),0.1 (0.12),0.0 (0.05),0.0 (0.0),0.01 (0.1),0.0 (0.01),0.0 (0.04),0.0 (0.04),0.0 (0.0),0.05 (0.05)
dfa exponent gamma,0.0 (0.15),0.0 (0.0),0.0 (0.0),0.04 (0.11),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.01)
dfa exponent theta,0.0 (0.0),0.0 (0.1),0.0 (0.0),0.0 (0.04),0.0 (0.01),0.0 (0.0),0.03 (0.05),0.0 (0.0),0.26 (0.08),0.0 (0.0),0.0 (0.03),0.14 (0.1)
higuchi fractal dim,0.07 (0.13),0.0 (0.01),0.0 (0.01),0.0 (0.0),0.09 (0.07),0.11 (0.11),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.06)
hjorth activity,0.07 (0.09),0.0 (0.01),0.0 (0.0),0.12 (0.18),0.01 (0.09),0.0 (0.02),0.0 (0.01),0.0 (0.0),0.0 (0.02),0.18 (0.15),0.09 (0.3),0.03 (0.11)
hjorth complexity,0.03 (0.04),0.0 (0.0),0.0 (0.03),0.0 (0.02),0.04 (0.04),0.02 (0.13),0.0 (0.01),0.0 (0.0),0.0 (0.03),0.0 (0.0),0.02 (0.47),0.0 (0.0)
hjorth mobility,0.11 (0.18),0.0 (0.13),0.0 (0.0),0.02 (0.04),0.05 (0.08),0.0 (0.03),0.01 (0.02),0.0 (0.01),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.02 (0.02)
katz fractal dim,0.07 (0.06),0.01 (0.02),0.0 (0.0),0.04 (0.15),0.1 (0.08),0.03 (0.07),0.0 (0.01),0.0 (0.0),0.01 (0.03),0.17 (0.2),0.31 (0.4),0.0 (0.02)
kurtosis ampl alpha,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.21 (0.26),0.15 (0.11),0.0 (0.09),0.02 (0.03),0.0 (0.01),0.0 (0.03),0.05 (0.04),0.0 (0.02),0.0 (0.01)
kurtosis ampl beta,0.0 (0.01),0.01 (0.03),0.0 (0.0),0.12 (0.23),0.17 (0.28),0.01 (0.03),0.01 (0.02),0.03 (0.03),0.13 (0.12),0.13 (0.14),0.0 (0.02),0.0 (0.08)
kurtosis ampl delta,0.06 (0.06),0.01 (0.04),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.06 (0.07),0.0 (0.0),0.0 (0.0),0.05 (0.09),0.0 (0.0),0.0 (0.0),0.02 (0.05)
kurtosis ampl gamma,0.01 (0.03),0.0 (0.01),0.02 (0.1),0.0 (0.02),0.14 (0.18),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.09 (0.12),0.09 (0.14),0.0 (0.02),0.08 (0.22)
kurtosis ampl theta,0.0 (0.02),0.0 (0.02),0.02 (0.03),0.0 (0.01),0.05 (0.15),0.0 (0.01),0.0 (0.0),0.0 (0.02),0.01 (0.17),0.0 (0.0),0.0 (0.11),0.06 (0.04)
life time alpha,0.05 (0.05),0.0 (0.01),0.01 (0.02),0.03 (0.05),0.0 (0.12),0.0 (0.0),0.02 (0.04),0.0 (0.02),0.0 (0.0),0.04 (0.06),0.0 (0.01),0.0 (0.0)
life time beta,0.0 (0.0),0.0 (0.03),0.0 (0.0),0.07 (0.15),0.12 (0.15),0.0 (0.02),0.02 (0.02),0.02 (0.13),0.04 (0.05),0.09 (0.07),0.0 (0.0),0.0 (0.16)
life time delta,0.05 (0.07),0.03 (0.13),0.0 (0.1),0.0 (0.04),0.0 (0.08),0.0 (0.0),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.09 (0.13)
life time gamma,0.0 (0.0),0.0 (0.01),0.0 (0.0),0.05 (0.04),0.0 (0.02),0.0 (0.0),0.03 (0.02),0.02 (0.03),0.08 (0.07),0.07 (0.05),0.01 (0.03),0.01 (0.27)
life time theta,0.0 (0.1),0.0 (0.01),0.01 (0.1),0.03 (0.04),0.0 (0.0),0.0 (0.0),0.08 (0.05),0.01 (0.03),0.05 (0.06),0.05 (0.04),0.0 (0.0),0.0 (0.04)
lyapunov exponent,0.0 (0.02),0.0 (0.01),0.0 (0.0),0.08 (0.16),0.01 (0.03),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.08 (0.26),0.07 (0.13),0.0 (0.0),0.03 (0.09)
lzc exhaustive,0.0 (0.05),0.0 (0.0),0.0 (0.0),0.06 (0.12),0.0 (0.01),0.0 (0.0),0.02 (0.02),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.02)
lzc primitive,0.0 (0.04),0.0 (0.0),0.0 (0.0),0.05 (0.11),0.0 (0.01),0.0 (0.0),0.02 (0.02),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.02)
mean ampl alpha,0.05 (0.04),0.0 (0.01),0.0 (0.0),0.03 (0.11),0.01 (0.06),0.0 (0.01),0.01 (0.01),0.01 (0.01),0.0 (0.0),0.1 (0.16),0.16 (0.2),0.01 (0.03)
mean ampl beta,0.08 (0.08),0.01 (0.03),0.0 (0.0),0.11 (0.24),0.06 (0.04),0.03 (0.05),0.03 (0.13),0.0 (0.0),0.03 (0.04),0.0 (0.07),0.0 (0.22),0.0 (0.02)
mean ampl delta,0.22 (0.14),0.0 (0.02),0.0 (0.04),0.1 (0.16),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.01 (0.02),0.24 (0.2),0.0 (0.22),0.05 (0.07)
mean ampl gamma,0.11 (0.1),0.05 (0.04),0.0 (0.0),0.0 (0.0),0.18 (0.06),0.05 (0.06),0.0 (0.04),0.0 (0.0),0.05 (0.07),0.08 (0.17),0.02 (0.06),0.0 (0.0)
mean ampl theta,0.18 (0.12),0.0 (0.01),0.0 (0.05),0.14 (0.25),0.0 (0.16),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.18 (0.26),0.0 (0.01),0.04 (0.1)
microstate A,0.08 (0.09),0.0 (0.01),0.0 (0.03),0.01 (0.08),0.0 (0.01),0.0 (0.04),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.02)
microstate B,0.05 (0.04),0.02 (0.07),0.01 (0.02),0.08 (0.08),0.0 (0.0),0.0 (0.05),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0)
microstate C,0.0 (0.03),0.0 (0.0),0.0 (0.01),0.05 (0.05),0.04 (0.05),0.0 (0.02),0.01 (0.01),0.0 (0.01),0.0 (0.0),0.0 (0.03),0.0 (0.0),0.1 (0.07)
microstate D,0.12 (0.04),0.06 (0.1),0.01 (0.04),0.0 (0.04),0.0 (0.02),0.0 (0.05),0.0 (0.01),0.01 (0.02),0.0 (0.0),0.02 (0.04),0.01 (0.02),0.0 (0.0)
microstate E,0.02 (0.05),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.02 (0.03),0.0 (0.01),0.0 (0.0),0.0 (0.01),0.05 (0.09),0.0 (0.0),0.0 (0.01),0.0 (0.03)
mod index alpha-beta,0.02 (0.04),0.05 (0.06),0.26 (0.2),0.0 (0.04),0.05 (0.04),0.17 (0.37),0.0 (0.04),0.0 (0.0),0.15 (0.11),0.18 (0.08),0.04 (0.08),0.03 (0.29)
mod index alpha-gamma,0.0 (0.0),0.0 (0.0),0.0 (0.23),0.0 (0.09),0.1 (0.24),0.12 (0.24),0.0 (0.06),0.0 (0.02),0.03 (0.09),0.24 (0.14),0.0 (0.0),0.04 (0.16)
mod index beta-gamma,0.0 (0.01),0.0 (0.0),0.08 (0.25),0.0 (0.0),0.0 (0.0),0.0 (0.05),0.0 (0.0),0.0 (0.0),0.01 (0.03),0.0 (0.11),0.0 (0.0),0.06 (0.13)
mod index delta-alpha,0.0 (0.0),0.27 (0.4),0.01 (0.05),0.02 (0.05),0.03 (0.05),0.0 (0.01),0.03 (0.03),0.0 (0.0),0.02 (0.14),0.16 (0.12),0.25 (0.25),0.0 (0.0)
mod index delta-beta,0.03 (0.05),0.0 (0.03),0.0 (0.0),0.0 (0.02),0.0 (0.05),0.03 (0.08),0.0 (0.01),0.0 (0.0),0.24 (0.29),0.0 (0.1),0.0 (0.05),0.0 (0.0)
mod index delta-gamma,0.1 (0.15),0.0 (0.0),0.0 (0.05),0.0 (0.06),0.13 (0.13),0.0 (0.01),0.0 (0.03),0.0 (0.06),0.27 (0.16),0.35 (0.18),0.04 (0.16),0.0 (0.0)
mod index delta-theta,0.03 (0.04),0.0 (0.01),0.0 (0.03),0.0 (0.0),0.03 (0.04),0.01 (0.05),0.0 (0.01),0.0 (0.01),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.02)
mod index theta-alpha,0.0 (0.03),0.0 (0.0),0.0 (0.0),0.02 (0.35),0.0 (0.08),0.0 (0.0),0.02 (0.02),0.01 (0.01),0.0 (0.01),0.06 (0.05),0.12 (0.25),0.0 (0.0)
mod index theta-beta,0.23 (0.21),0.0 (0.01),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.1),0.0 (0.01),0.03 (0.03),0.03 (0.08),0.05 (0.09),0.03 (0.04),0.0 (0.0)
mod index theta-gamma,0.06 (0.18),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.02),0.0 (0.0),0.01 (0.04),0.0 (0.0),0.0 (0.0)
node str e-icoh alpha,0.0 (0.04),0.0 (0.0),0.0 (0.02),0.05 (0.04),0.0 (0.01),0.01 (0.03),0.03 (0.03),0.05 (0.05),0.25 (0.12),0.13 (0.2),0.0 (0.03),0.0 (0.01)
node str e-icoh beta,0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.01 (0.07),0.0 (0.03),0.0 (0.01),0.01 (0.04),0.0 (0.15)
node str e-icoh delta,0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.02 (0.02),0.0 (0.02),0.03 (0.05),0.0 (0.0),0.0 (0.01)
node str e-icoh gamma,0.0 (0.18),0.0 (0.02),0.0 (0.0),0.03 (0.04),0.03 (0.04),0.12 (0.14),0.0 (0.0),0.0 (0.0),0.11 (0.24),0.04 (0.1),0.0 (0.0),0.0 (0.0)
node str e-icoh theta,0.0 (0.0),0.16 (0.36),0.02 (0.08),0.0 (0.08),0.0 (0.0),0.0 (0.0),0.02 (0.03),0.02 (0.02),0.0 (0.07),0.05 (0.34),0.13 (0.12),0.0 (0.04)
node str e-plv alpha,0.02 (0.12),0.0 (0.0),0.0 (0.03),0.17 (0.14),0.0 (0.0),0.0 (0.01),0.05 (0.03),0.04 (0.03),0.0 (0.01),0.05 (0.06),0.19 (0.31),0.0 (0.0)
node str e-plv beta,0.0 (0.0),0.0 (0.0),0.02 (0.03),0.0 (0.13),0.0 (0.0),0.0 (0.01),0.03 (0.32),0.04 (0.04),0.0 (0.03),0.0 (0.0),0.21 (0.14),0.1 (0.14)
node str e-plv delta,0.0 (0.14),0.0 (0.0),0.0 (0.02),0.19 (0.27),0.01 (0.29),0.01 (0.04),0.01 (0.03),0.03 (0.03),0.06 (0.08),0.05 (0.06),0.11 (0.09),0.01 (0.04)
node str e-plv gamma,0.0 (0.01),0.0 (0.0),0.0 (0.04),0.0 (0.0),0.12 (0.16),0.0 (0.0),0.02 (0.04),0.04 (0.04),0.03 (0.06),0.0 (0.0),0.18 (0.32),0.03 (0.08)
node str e-plv theta,0.0 (0.01),0.0 (0.0),0.03 (0.15),0.12 (0.22),0.01 (0.04),0.0 (0.0),0.03 (0.03),0.04 (0.03),0.02 (0.06),0.14 (0.2),0.26 (0.18),0.0 (0.0)
node str e-wpli alpha,0.0 (0.07),0.0 (0.0),0.0 (0.02),0.07 (0.06),0.0 (0.0),0.01 (0.03),0.04 (0.04),0.04 (0.06),0.3 (0.14),0.15 (0.17),0.0 (0.02),0.0 (0.0)
node str e-wpli beta,0.0 (0.0),0.0 (0.0),0.0 (0.11),0.0 (0.0),0.0 (0.01),0.0 (0.0),0.0 (0.0),0.04 (0.06),0.0 (0.03),0.0 (0.0),0.02 (0.05),0.0 (0.01)
node str e-wpli delta,0.0 (0.0),0.0 (0.02),0.0 (0.0),0.0 (0.0),0.0 (0.03),0.0 (0.0),0.0 (0.02),0.02 (0.02),0.0 (0.02),0.03 (0.05),0.0 (0.02),0.0 (0.03)
node str e-wpli gamma,0.0 (0.11),0.0 (0.0),0.0 (0.02),0.05 (0.09),0.03 (0.03),0.11 (0.11),0.0 (0.01),0.0 (0.01),0.2 (0.3),0.03 (0.07),0.0 (0.0),0.0 (0.0)
node str e-wpli theta,0.0 (0.0),0.29 (0.24),0.04 (0.07),0.22 (0.26),0.0 (0.01),0.0 (0.0),0.02 (0.03),0.02 (0.02),0.01 (0.19),0.01 (0.04),0.18 (0.13),0.0 (0.02)
