features,selected_ch,pvalues,z_stat,r_stat,rcil_stat,rcih_stat
clust coef e-plv delta.csv,33,0.003353543,-4.033397701,0.284493939,0.15,0.42
clust coef e-plv gamma.csv,25,0.161321733,-2.909378899,0.205211765,0.08,0.33
clust coef e-plv theta.csv,7,0.925219565,1.722624164,0.12150454,0.01,0.26
clust coef e-wpli alpha.csv,7,0.676610133,2.093811768,0.147686095,0.01,0.28
clust coef e-wpli beta.csv,52,0.968722994,1.840254039,0.129801512,0.01,0.27
clust coef e-wpli delta.csv,56,0.001235285,-4.140571587,0.292053402,0.17,0.42
clust coef e-wpli gamma.csv,52,0.712504509,2.397035445,0.169073844,0.04,0.32
clust coef e-wpli theta.csv,17,0.780898584,2.224511629,0.156904953,0.02,0.31
clust coef s-lcoh alpha.csv,17,0.02931483,2.99302681,0.211111834,0.07,0.34
clust coef s-lcoh beta.csv,75,0.71094083,1.986637883,0.140126632,0.02,0.28
clust coef s-lcoh delta.csv,28,0.977610773,-1.424628482,0.100485545,0.0063,0.23
clust coef s-lcoh gamma.csv,72,0.223241547,2.606155222,0.183824016,0.04,0.32
clust coef s-lcoh theta.csv,4,0.252105047,2.496367339,0.176080176,0.04,0.32
clust coef s-lps alpha.csv,75,0.022019702,3.3772844,0.238215275,0.09,0.38
clust coef s-lps beta.csv,75,0.978874975,1.534416365,0.108229386,0.0056,0.23
clust coef s-lps delta.csv,21,1,-1.218122702,0.085919751,0.0039,0.22
clust coef s-lps gamma.csv,66,0.829733849,1.714782172,0.120951409,0.01,0.26
clust coef s-lps theta.csv,36,0.002444019,4.169325556,0.29408155,0.15,0.42
correlation dimension.csv,24,0.025204826,-3.531510236,0.249093526,0.12,0.38
dfa exponent alpha.csv,22,0.372067986,-2.224511629,0.156904953,0.03,0.3
dfa exponent beta.csv,46,0.542092383,-2.033689832,0.143445421,0.02,0.29
dfa exponent delta.csv,40,0.003101714,-4.051695682,0.285784579,0.14,0.43
dfa exponent gamma.csv,31,0.818616852,1.94219993,0.136992221,0.01,0.28
dfa exponent theta.csv,31,0.145975414,-2.616611211,0.184561525,0.05,0.33
higuchi fractal dim.csv,48,3.91E-14,-8.024971447,0.566037843,0.47,0.65
hjorth activity.csv,59,0.021500332,3.573334192,0.252043561,0.12,0.39
hjorth complexity.csv,17,1.37E-09,6.689218871,0.47182112,0.36,0.58
hjorth mobility.csv,18,3.40E-14,-8.098163369,0.571200403,0.48,0.66
katz fractal dim.csv,48,0.014492906,-3.675280083,0.259234269,0.11,0.38
kurtosis ampl alpha.csv,49,0.970866106,-1.929129944,0.136070335,0.01,0.27
kurtosis ampl beta.csv,57,0.004324345,3.973275765,0.280253264,0.15,0.4
kurtosis ampl delta.csv,8,4.69E-05,-4.943068732,0.348657186,0.23,0.46
kurtosis ampl gamma.csv,18,0.001462599,4.224219498,0.29795347,0.17,0.42
kurtosis ampl theta.csv,40,4.45E-05,-4.953524721,0.349394694,0.22,0.47
life time alpha.csv,15,0.016578463,3.589019501,0.253149917,0.12,0.37
life time beta.csv,15,1.16E-09,-6.676148885,0.470899235,0.35,0.58
life time delta.csv,12,1.90E-06,-5.53516364,0.390420341,0.25,0.51
life time gamma.csv,54,6.98E-05,-4.825438857,0.340360214,0.22,0.47
life time theta.csv,43,0.542382691,2.044149597,0.144183196,0.02,0.28
lyapunov exponent.csv,18,0.00239087,-3.981117757,0.280806396,0.14,0.4
lzc exhaustive.csv,18,1.65E-10,-6.992442547,0.493208869,0.38,0.59
lzc primitive.csv,18,3.93E-10,-6.869584678,0.484543144,0.36,0.6
mean ampl alpha.csv,59,0.047210865,3.31193447,0.233605846,0.09,0.35
mean ampl beta.csv,49,0.004077954,-3.839961907,0.27085003,0.13,0.41
mean ampl delta.csv,5,7.16E-10,6.78332277,0.478458698,0.36,0.58
mean ampl gamma.csv,48,4.57E-07,-5.77954784,0.407657873,0.28,0.52
mean ampl theta.csv,59,0.020432525,3.40603837,0.240243423,0.1,0.37
microstate A.csv,2,6.04E-12,-7.073476461,0.498924561,0.39,0.6
microstate B.csv,2,1.41E-09,-6.273593314,0.442505154,0.32,0.55
microstate C.csv,4,2.04E-09,6.216089968,0.438449181,0.32,0.55
microstate D.csv,2,0.000410332,-3.88439986,0.273984441,0.13,0.41
microstate E.csv,4,0.043756433,2.543423048,0.17939923,0.05,0.31
mod index alpha-beta.csv,13,9.97E-08,6.030491573,0.425358079,0.31,0.53
mod index alpha-gamma.csv,58,0.721342464,2.232353621,0.157458084,0.02,0.29
mod index beta-gamma.csv,15,0.00156789,4.208535515,0.296847207,0.17,0.41
mod index delta-alpha.csv,49,4.63E-05,-4.945682729,0.348841563,0.21,0.47
mod index delta-beta.csv,20,5.58E-05,-4.909086768,0.346260283,0.22,0.47
mod index delta-gamma.csv,48,0.195617992,-2.755153064,0.194333513,0.06,0.32
mod index delta-theta.csv,40,2.04E-05,-5.102522562,0.359904192,0.23,0.47
mod index theta-alpha.csv,48,0.957947151,1.984023885,0.139942255,0.01,0.28
mod index theta-beta.csv,26,0.001048288,4.221605501,0.297769093,0.16,0.43
mod index theta-gamma.csv,46,0.004519879,3.905311838,0.275459458,0.13,0.39
node str e-icoh alpha.csv,17,0.323964735,2.522507312,0.177923947,0.04,0.31
node str e-icoh beta.csv,52,0.593592946,2.585243245,0.182348999,0.05,0.31
node str e-icoh delta.csv,56,0.000601326,-4.420269289,0.311781756,0.17,0.44
node str e-icoh gamma.csv,52,0.41998943,2.572173259,0.181427113,0.04,0.33
node str e-icoh theta.csv,12,0.068674018,3.257040529,0.229733926,0.1,0.35
node str e-plv alpha.csv,7,0.011299697,3.727560027,0.262921812,0.13,0.39
node str e-plv beta.csv,51,8.86E-07,-5.66714596,0.399729656,0.28,0.51
node str e-plv delta.csv,33,0.003665046,-4.012485723,0.283018921,0.15,0.41
node str e-plv gamma.csv,25,0.016050294,-3.649140111,0.257390498,0.13,0.37
node str e-plv theta.csv,7,0.538371466,1.991865877,0.140495386,0.02,0.28
node str e-wpli alpha.csv,17,0.358488839,2.357825487,0.166308187,0.03,0.3
node str e-wpli beta.csv,52,0.97282258,2.410105431,0.16999573,0.04,0.3
node str e-wpli delta.csv,56,0.005350098,-3.90269784,0.275275081,0.14,0.41
node str e-wpli gamma.csv,52,0.662703775,2.525121309,0.178108324,0.04,0.33
node str e-wpli theta.csv,12,0.137594451,2.961658843,0.208899308,0.07,0.34
node str s-lcoh alpha.csv,17,0.032042993,3.15248064,0.22235884,0.06,0.36
node str s-lcoh beta.csv,75,0.572040954,2.274177576,0.160408118,0.02,0.29
node str s-lcoh delta.csv,28,0.995828683,-1.691256197,0.119292014,0.01,0.25
node str s-lcoh gamma.csv,72,0.227577605,2.857098955,0.201524222,0.06,0.34
node str s-lcoh theta.csv,4,0.250348755,2.742083077,0.193411628,0.04,0.33
node str s-lps alpha.csv,75,0.024023881,3.51844025,0.248171641,0.11,0.38
node str s-lps beta.csv,75,0.980162945,1.87685,0.132382792,0.02,0.27
node str s-lps delta.csv,21,0.995828683,-1.819342061,0.128326495,0.01,0.26
node str s-lps gamma.csv,15,0.693309711,-2.370895473,0.167230073,0.04,0.31
node str s-lps theta.csv,36,0.000681744,4.451637255,0.313994282,0.17,0.44
permutation entropy.csv,30,0.000482185,-4.26865745,0.301087882,0.17,0.43
range asymmetry alpha.csv,18,0.014492906,-3.675280083,0.259234269,0.12,0.38
range asymmetry beta.csv,38,0.002811884,3.99680174,0.281912658,0.14,0.41
range asymmetry delta.csv,12,0.012679717,-3.709262047,0.261631172,0.12,0.38
range asymmetry gamma.csv,30,0.013109958,3.649140111,0.257390498,0.13,0.38
range asymmetry theta.csv,12,0.537971178,-2.224511629,0.156904953,0.02,0.29
range coef var alpha.csv,9,0.609956572,-1.808886072,0.127588986,0.02,0.26
range coef var beta.csv,31,0.020486958,3.528896239,0.248909149,0.12,0.38
range coef var delta.csv,40,0.000298554,-4.56926713,0.322291254,0.19,0.45
range coef var gamma.csv,61,0.030974821,3.476616295,0.245221606,0.12,0.37
range coef var theta.csv,40,0.000662289,-4.399357311,0.310306739,0.18,0.44
relative ampl alpha.csv,15,0.064405766,3.079288718,0.21719628,0.08,0.34
relative ampl beta.csv,49,1.37E-14,-8.207951252,0.578944243,0.48,0.67
relative ampl delta.csv,17,6.98E-07,5.706355918,0.402495313,0.27,0.52
relative ampl gamma.csv,59,1.26E-05,-4.969208704,0.350500957,0.21,0.48
relative ampl theta.csv,48,1.99E-08,6.221313369,0.438817611,0.3,0.56
rqa determinism.csv,50,2.02E-09,6.631710932,0.467764823,0.35,0.58
rqa entropy.csv,29,0.021458871,3.408652367,0.2404278,0.11,0.38
rqa laminarity.csv,50,2.10E-12,7.580591921,0.534693728,0.43,0.63
rqa max diagonal.csv,50,9.48E-14,7.951779525,0.560875283,0.46,0.65
rqa max vertical.csv,50,1.30E-08,6.35201323,0.448036468,0.33,0.56
rqa mean diagonal.csv,29,0.025489139,3.413880361,0.240796555,0.1,0.38
rqa rte.csv,50,1.78E-11,7.298280221,0.514780996,0.41,0.61
rqa trapping time.csv,50,1.35E-13,7.925639553,0.559031511,0.46,0.65
sample entropy.csv,4,1.43E-06,-5.489394149,0.38719201,0.26,0.5
skewness ampl alpha.csv,18,0.013998168,-3.664824094,0.258496761,0.13,0.38
skewness ampl beta.csv,33,7.11E-10,6.728428829,0.474586778,0.35,0.58
skewness ampl delta.csv,16,0.000187357,-4.665985027,0.329113208,0.19,0.46
skewness ampl gamma.csv,8,0.102348184,-3.142024651,0.221621331,0.09,0.36
skewness ampl theta.csv,31,0.306148652,2.640137186,0.186220919,0.03,0.32
source ampl alpha.csv,28,0.000164303,4.621547074,0.325978797,0.2,0.45
source ampl beta.csv,5,6.41E-10,-6.838216712,0.482330618,0.37,0.58
source ampl delta.csv,21,3.98E-09,6.571588996,0.463524149,0.34,0.57
source ampl gamma.csv,5,2.76E-05,-5.005804665,0.353082237,0.23,0.47
source ampl theta.csv,11,1.60E-06,5.612252018,0.395857736,0.26,0.52
spectral entropy alpha.csv,15,0.206120577,2.535577298,0.178845833,0.04,0.32
spectral entropy beta.csv,49,1.18E-14,-8.226249232,0.580234883,0.48,0.66
spectral entropy delta.csv,17,3.19E-07,5.839669776,0.411898547,0.28,0.53
spectral entropy gamma.csv,59,1.01E-05,-5.00057667,0.352713483,0.22,0.48
spectral entropy theta.csv,48,2.39E-09,6.574202993,0.463708526,0.34,0.58
std ampl alpha.csv,59,0.035826142,3.437406336,0.242455949,0.11,0.37
std ampl beta.csv,49,0.005422536,-3.86610188,0.272693801,0.12,0.41
std ampl delta.csv,5,8.90E-09,6.409521169,0.452092766,0.34,0.57
std ampl gamma.csv,48,6.13E-07,-5.729881893,0.404154707,0.28,0.52
std ampl theta.csv,59,0.035456125,3.251812534,0.229365171,0.09,0.36
waiting time alpha.csv,15,0.091753329,3.122424286,0.220238828,0.09,0.34
waiting time beta.csv,49,0.000125973,-4.660757033,0.328744454,0.2,0.45
waiting time delta.csv,40,3.58E-06,-5.422767271,0.382492512,0.25,0.5
waiting time gamma.csv,55,0.000115529,-4.673827019,0.32966634,0.21,0.46
waiting time theta.csv,31,0.113372988,-2.934223797,0.206964189,0.06,0.34
