,25th,50th,75th
node str e-wpli gamma,0.546,0.605,0.697
node str e-wpli theta,0.681,0.749,0.792
permutation entropy,0.971,0.977,0.982
range asymmetry alpha,0.858,0.918,0.942
range asymmetry beta,0.781,0.81,0.864
range asymmetry delta,0.724,0.765,0.799
range asymmetry gamma,0.692,0.749,0.823
range asymmetry theta,0.773,0.802,0.852
range coef var alpha,0.967,0.974,0.983
range coef var beta,0.971,0.978,0.984
range coef var delta,0.957,0.964,0.97
range coef var gamma,0.883,0.937,0.957
range coef var theta,0.951,0.96,0.967
relative ampl alpha,0.972,0.978,0.987
relative ampl beta,0.979,0.987,0.991
relative ampl delta,0.973,0.978,0.985
relative ampl gamma,0.961,0.968,0.978
relative ampl theta,0.972,0.978,0.985
rqa determinism,0.973,0.982,0.985
rqa entropy,0.961,0.968,0.98
rqa laminarity,0.974,0.981,0.986
rqa max diagonal,0.955,0.968,0.973
rqa max vertical,0.931,0.941,0.953
rqa mean diagonal,0.959,0.968,0.981
rqa rte,0.953,0.962,0.972
rqa trapping time,0.969,0.976,0.98
sample entropy,0.967,0.974,0.98
skewness ampl alpha,0.898,0.916,0.936
skewness ampl beta,0.909,0.929,0.959
skewness ampl delta,0.796,0.838,0.871
skewness ampl gamma,0.901,0.922,0.938
skewness ampl theta,0.874,0.907,0.93
spectral entropy alpha,0.975,0.981,0.989
spectral entropy beta,0.979,0.987,0.991
spectral entropy delta,0.972,0.977,0.986
spectral entropy gamma,0.963,0.972,0.978
spectral entropy theta,0.969,0.976,0.984
std ampl alpha,0.925,0.963,0.978
std ampl beta,0.911,0.962,0.979
std ampl delta,0.856,0.943,0.979
std ampl gamma,0.881,0.957,0.981
std ampl theta,0.911,0.957,0.975
waiting time alpha,0.933,0.942,0.969
waiting time beta,0.945,0.959,0.976
waiting time delta,0.593,0.66,0.737
waiting time gamma,0.934,0.949,0.962
waiting time theta,0.898,0.917,0.926
